# Weather station Paderborn / Lippstadt (airport), Germany, METAR=EDLP,selection from 23.01.2019 till 23.11.2019, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EDLP&lang=en
#
"Local time in Paderborn / Lippstadt (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"01.09.2019 22:50";"12.0";"745.0";"764.3";"82";"Wind blowing from the west-southwest";"2";"";"";"";"Scattered clouds (40-50%) 1260 m";"10.0 and more";"9.0";
"01.09.2019 22:20";"13.0";"744.3";"763.5";"77";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"9.0";
"01.09.2019 21:50";"14.0";"744.4";"763.5";"72";"Wind blowing from the south-west";"2";"";"";"";"Few clouds (10-30%) 1410 m";"10.0 and more";"9.0";
"01.09.2019 21:20";"13.0";"744.3";"763.5";"82";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 1470 m";"10.0 and more";"10.0";
"01.09.2019 20:50";"13.0";"744.3";"763.5";"82";"Wind blowing from the west-southwest";"3";"";"";"";"Few clouds (10-30%) 1470 m";"10.0 and more";"10.0";
"01.09.2019 20:20";"15.0";"743.8";"762.8";"72";"Wind blowing from the south-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"01.09.2019 19:50";"15.0";"743.8";"762.8";"72";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"01.09.2019 19:20";"17.0";"743.1";"762.0";"64";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"01.09.2019 18:50";"17.0";"743.1";"762.0";"64";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"01.09.2019 18:20";"17.0";"743.1";"762.0";"64";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"10.0";
"01.09.2019 17:50";"18.0";"743.2";"762.0";"64";"Wind blowing from the west-northwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"11.0";
"01.09.2019 17:20";"17.0";"743.1";"762.0";"77";"Wind blowing from the west-northwest";"3";"";"";"";"Few clouds (10-30%) 870 m";"10.0 and more";"13.0";
"01.09.2019 16:50";"16.0";"743.1";"762.0";"83";"Wind blowing from the west";"2";"";"";"";"Few clouds (10-30%) 840 m";"9.0";"13.0";
"01.09.2019 16:20";"17.0";"742.3";"761.2";"77";"Wind blowing from the west";"2";"";"";"";"Few clouds (10-30%) 870 m, scattered clouds (40-50%) 1050 m";"10.0 and more";"13.0";
"01.09.2019 15:50";"17.0";"743.1";"762.0";"73";"Wind blowing from the west-southwest";"3";"";"";"";"Few clouds (10-30%) 1080 m";"10.0 and more";"12.0";
"01.09.2019 15:20";"17.0";"742.3";"761.2";"83";"Wind blowing from the west-southwest";"3";"";"";"";"Broken clouds (60-90%) 1440 m";"10.0 and more";"14.0";
"01.09.2019 14:50";"16.0";"742.3";"761.2";"88";"Wind blowing from the west-southwest";"3";"";"";"";"Broken clouds (60-90%) 1470 m";"10.0 and more";"14.0";
"01.09.2019 14:20";"16.0";"742.3";"761.2";"88";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 270 m, overcast (100%) 1380 m";"10.0 and more";"14.0";
"01.09.2019 13:50";"15.0";"742.2";"761.2";"94";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 1050 m, overcast (100%) 1320 m";"10.0 and more";"14.0";
"01.09.2019 13:20";"15.0";"742.2";"761.2";"88";"Wind blowing from the west";"2";"";"Light rain";"Rain";"Few clouds (10-30%) 900 m, overcast (100%) 1530 m";"10.0 and more";"13.0";
"01.09.2019 12:50";"15.0";"742.2";"761.2";"94";"Wind blowing from the west-southwest";"3";"";"Rain";"";"Few clouds (10-30%) 300 m, scattered clouds (40-50%) 1050 m, overcast (100%) 1260 m";"6.0";"14.0";
"01.09.2019 12:20";"15.0";"742.2";"761.2";"88";"Wind blowing from the west";"3";"";"";"";"Scattered clouds (40-50%) 180 m, overcast (100%) 870 m";"9.0";"13.0";
"01.09.2019 11:50";"15.0";"742.2";"761.2";"94";"Wind blowing from the west";"4";"";"Light rain, mist";"";"Scattered clouds (40-50%) 180 m, broken clouds (60-90%) 390 m, overcast (100%) 780 m";"3.5";"14.0";
"01.09.2019 11:20";"15.0";"741.5";"760.5";"94";"Wind blowing from the west-northwest";"5";"";"Light rain";"";"Scattered clouds (40-50%) 150 m, broken clouds (60-90%) 270 m, overcast (100%) 360 m";"7.0";"14.0";
"01.09.2019 10:50";"17.0";"741.7";"760.5";"83";"Wind blowing from the north-west";"4";"";"Light rain";"";"Few clouds (10-30%) 240 m, scattered clouds (40-50%) 360 m, overcast (100%) 420 m";"10.0 and more";"14.0";
"01.09.2019 10:20";"18.0";"740.9";"759.7";"78";"Wind blowing from the west-southwest";"3";"";"";"";"Scattered clouds (40-50%) 480 m, broken clouds (60-90%) 1260 m";"10.0 and more";"14.0";
"01.09.2019 09:50";"18.0";"740.9";"759.7";"78";"Wind blowing from the west";"3";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 540 m";"10.0 and more";"14.0";
"01.09.2019 09:20";"18.0";"740.9";"759.7";"78";"Wind blowing from the west";"4";"";"";"";"Scattered clouds (40-50%) 390 m, broken clouds (60-90%) 510 m";"10.0 and more";"14.0";
"01.09.2019 08:50";"18.0";"740.9";"759.7";"78";"Wind blowing from the west";"3";"";"";"";"Broken clouds (60-90%) 390 m, broken clouds (60-90%) 570 m";"10.0 and more";"14.0";
"01.09.2019 08:20";"18.0";"740.3";"759.0";"78";"Wind blowing from the west-southwest";"4";"";"";"";"Broken clouds (60-90%) 420 m, broken clouds (60-90%) 750 m";"10.0 and more";"14.0";
"01.09.2019 07:50";"17.0";"740.2";"759.0";"83";"Wind blowing from the west";"4";"";"";"";"Overcast (100%) 420 m";"10.0 and more";"14.0";
"01.09.2019 07:20";"17.0";"740.2";"759.0";"83";"Wind blowing from the west";"4";"";"";"";"Overcast (100%) 420 m";"10.0 and more";"14.0";
"01.09.2019 06:50";"17.0";"739.4";"758.2";"83";"Wind blowing from the west";"3";"";"";"";"Overcast (100%) 390 m";"10.0 and more";"14.0";
"01.09.2019 06:20";"17.0";"739.4";"758.2";"83";"Wind blowing from the west-southwest";"4";"";"";"";"Broken clouds (60-90%) 390 m, broken clouds (60-90%) 600 m";"10.0 and more";"14.0";
"01.09.2019 05:50";"17.0";"739.4";"758.2";"83";"Wind blowing from the west-southwest";"4";"";"";"";"Overcast (100%) 360 m";"10.0 and more";"14.0";
"01.09.2019 05:20";"17.0";"739.4";"758.2";"83";"Wind blowing from the west-southwest";"5";"";"";"";"Overcast (100%) 360 m";"10.0 and more";"14.0";
"01.09.2019 04:50";"17.0";"739.4";"758.2";"83";"Wind blowing from the west-southwest";"4";"";"";"";"Broken clouds (60-90%) 450 m";"10.0 and more";"14.0";
"01.09.2019 04:20";"17.0";"739.4";"758.2";"83";"Wind blowing from the west-southwest";"4";"";"";"";"Few clouds (10-30%) 540 m";"10.0 and more";"14.0";
"01.09.2019 03:50";"18.0";"739.0";"757.7";"78";"Wind blowing from the west";"5";"";"";"";"Few clouds (10-30%) 510 m";"10.0 and more";"14.0";
"01.09.2019 03:20";"19.0";"739.1";"757.7";"78";"Wind blowing from the west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"01.09.2019 02:50";"20.0";"739.1";"757.7";"78";"Wind blowing from the west-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"16.0";
"01.09.2019 02:20";"20.0";"739.1";"757.7";"83";"Wind blowing from the south-west";"7";"";"";"";"Few clouds (10-30%) 600 m";"10.0 and more";"17.0";
"01.09.2019 01:50";"21.0";"739.2";"757.7";"73";"Wind blowing from the west-southwest";"7";"";"";"";"Few clouds (10-30%) 660 m";"10.0 and more";"16.0";
"01.09.2019 01:20";"23.0";"738.5";"756.9";"61";"Wind blowing from the west-southwest";"4";"9";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"01.09.2019 00:50";"21.0";"738.4";"756.9";"64";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"01.09.2019 00:20";"23.0";"738.5";"756.9";"57";"Wind blowing from the south-southwest";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 23:50";"23.0";"738.5";"756.9";"61";"Wind blowing from the south-west";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 23:20";"22.0";"738.5";"756.9";"65";"Wind blowing from the south-west";"8";"15";"In the vicinity thunderstorm";"";"Few clouds (10-30%) 1050 m, cumulonimbus clouds";"10.0 and more";"15.0";
"31.08.2019 22:50";"26.0";"738.0";"756.2";"45";"Wind blowing from the south";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 22:20";"26.0";"738.0";"756.2";"45";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 21:50";"26.0";"738.0";"756.2";"45";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 21:20";"26.0";"738.7";"756.9";"45";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 20:50";"26.0";"738.7";"756.9";"45";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 20:20";"27.0";"738.8";"756.9";"42";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 19:50";"27.0";"738.8";"756.9";"42";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 19:20";"28.0";"739.6";"757.7";"37";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"31.08.2019 18:50";"29.0";"739.7";"757.7";"35";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"31.08.2019 18:20";"29.0";"739.7";"757.7";"35";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"31.08.2019 17:50";"31.0";"739.8";"757.7";"31";"Wind blowing from the south-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"31.08.2019 17:20";"31.0";"739.8";"757.7";"33";"Wind blowing from the south-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 16:50";"31.0";"739.8";"757.7";"33";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 16:20";"31.0";"740.3";"758.2";"33";"Wind blowing from the south-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 15:50";"31.0";"740.3";"758.2";"33";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 15:20";"31.0";"741.1";"759.0";"33";"Wind blowing from the south-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 14:50";"31.0";"741.1";"759.0";"33";"Wind blowing from the south-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 14:20";"31.0";"741.7";"759.7";"35";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 13:50";"32.0";"741.8";"759.7";"36";"Wind blowing from the south";"5";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 13:20";"30.0";"741.7";"759.7";"38";"Wind blowing from the south-southwest";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 12:50";"31.0";"742.5";"760.5";"35";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 12:20";"30.0";"742.5";"760.5";"38";"Wind blowing from the south-east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 11:50";"30.0";"742.5";"760.5";"35";"Wind blowing from the south-east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 11:20";"30.0";"743.1";"761.2";"35";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 10:50";"29.0";"743.1";"761.2";"37";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"31.08.2019 10:20";"28.0";"743.8";"762.0";"37";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"31.08.2019 09:50";"28.0";"743.8";"762.0";"37";"Wind blowing from the south-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"31.08.2019 09:20";"27.0";"743.8";"762.0";"39";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"12.0";
"31.08.2019 08:50";"26.0";"743.7";"762.0";"48";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 08:20";"24.0";"743.6";"762.0";"57";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 07:50";"23.0";"743.5";"762.0";"61";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 07:20";"21.0";"744.2";"762.8";"69";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 06:50";"20.0";"744.1";"762.8";"73";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 06:20";"19.0";"744.0";"762.8";"73";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 05:50";"19.0";"744.0";"762.8";"73";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 05:20";"19.0";"744.0";"762.8";"73";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 04:50";"17.0";"744.6";"763.5";"83";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 04:20";"17.0";"744.6";"763.5";"83";"Wind blowing from the south";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 03:50";"19.0";"744.7";"763.5";"78";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 03:20";"19.0";"744.7";"763.5";"78";"Wind blowing from the south-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 02:50";"18.0";"745.4";"764.3";"83";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"31.08.2019 02:20";"17.0";"745.4";"764.3";"83";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 01:50";"17.0";"746.1";"765.0";"83";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 01:20";"16.0";"746.0";"765.0";"88";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 00:50";"16.0";"746.0";"765.0";"88";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"31.08.2019 00:20";"16.0";"746.0";"765.0";"88";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 23:50";"16.0";"746.8";"765.8";"88";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 23:20";"16.0";"746.8";"765.8";"88";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 22:50";"17.0";"746.8";"765.8";"83";"Wind blowing from the south-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 22:20";"17.0";"746.8";"765.8";"83";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 21:50";"17.0";"746.8";"765.8";"83";"Wind blowing from the south-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 21:20";"18.0";"746.9";"765.8";"78";"Wind blowing from the south-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 20:50";"19.0";"747.0";"765.8";"78";"Wind blowing from the south-east";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.08.2019 20:20";"19.0";"747.0";"765.8";"73";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 19:50";"20.0";"747.0";"765.8";"73";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.08.2019 19:20";"21.0";"747.1";"765.8";"69";"Wind blowing from the north";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.08.2019 18:50";"22.0";"747.2";"765.8";"65";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.08.2019 18:20";"23.0";"747.2";"765.8";"57";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 17:50";"24.0";"747.3";"765.8";"54";"Wind blowing from the north-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 17:20";"24.0";"747.3";"765.8";"54";"Wind blowing from the north-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 16:50";"24.0";"747.3";"765.8";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 16:20";"24.0";"748.1";"766.6";"54";"variable wind direction";"3";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 15:50";"24.0";"748.1";"766.6";"54";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 15:20";"26.0";"748.2";"766.6";"51";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 1290 m";"10.0 and more";"15.0";
"30.08.2019 14:50";"24.0";"748.1";"766.6";"54";"Wind blowing from the west-northwest";"2";"";"";"";"Few clouds (10-30%) 1200 m";"10.0 and more";"14.0";
"30.08.2019 14:20";"24.0";"748.1";"766.6";"54";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 1170 m";"10.0 and more";"14.0";
"30.08.2019 13:50";"24.0";"748.7";"767.3";"54";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 13:20";"23.0";"748.7";"767.3";"53";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"13.0";
"30.08.2019 12:50";"22.0";"748.6";"767.3";"57";"Wind blowing from the north-west";"3";"";"";"";"Few clouds (10-30%) 1050 m";"10.0 and more";"13.0";
"30.08.2019 12:20";"21.0";"749.3";"768.1";"60";"Wind blowing from the north-west";"2";"";"";"";"Few clouds (10-30%) 1020 m";"10.0 and more";"13.0";
"30.08.2019 11:50";"21.0";"749.3";"768.1";"60";"variable wind direction";"2";"";"";"";"Few clouds (10-30%) 1260 m";"10.0 and more";"13.0";
"30.08.2019 11:20";"21.0";"749.3";"768.1";"60";"variable wind direction";"3";"";"";"";"Few clouds (10-30%) 1020 m";"10.0 and more";"13.0";
"30.08.2019 10:50";"20.0";"749.3";"768.1";"60";"Wind blowing from the north-west";"2";"";"";"";"Few clouds (10-30%) 1110 m";"10.0 and more";"12.0";
"30.08.2019 10:20";"19.0";"749.2";"768.1";"64";"Wind blowing from the north-northwest";"2";"";"";"";"Scattered clouds (40-50%) 1200 m";"10.0 and more";"12.0";
"30.08.2019 09:50";"19.0";"749.2";"768.1";"73";"Wind blowing from the north-west";"2";"";"";"";"Few clouds (10-30%) 870 m, broken clouds (60-90%) 1350 m";"10.0 and more";"14.0";
"30.08.2019 09:20";"19.0";"749.2";"768.1";"73";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 1380 m";"8.0";"14.0";
"30.08.2019 08:50";"18.0";"749.1";"768.1";"78";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 1470 m";"9.0";"14.0";
"30.08.2019 08:20";"17.0";"748.3";"767.3";"88";"variable wind direction";"1";"";"";"";"Scattered clouds (40-50%) 1410 m";"9.0";"15.0";
"30.08.2019 07:50";"17.0";"748.3";"767.3";"88";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 1380 m";"9.0";"15.0";
"30.08.2019 07:20";"16.0";"748.2";"767.3";"94";"Wind blowing from the south-west";"2";"";"";"";"Scattered clouds (40-50%) 1410 m";"7.0";"15.0";
"30.08.2019 06:50";"16.0";"748.2";"767.3";"94";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 1410 m";"7.0";"15.0";
"30.08.2019 06:20";"15.0";"748.2";"767.3";"94";"Calm, no wind";"0";"";"";"";"Broken clouds (60-90%) 1440 m";"10.0 and more";"14.0";
"30.08.2019 05:50";"15.0";"748.2";"767.3";"94";"Wind blowing from the south-west";"1";"";"";"";"Few clouds (10-30%) 1470 m";"8.0";"14.0";
"30.08.2019 05:20";"15.0";"748.2";"767.3";"94";"variable wind direction";"1";"";"";"";"Few clouds (10-30%) 1140 m";"7.0";"14.0";
"30.08.2019 04:50";"15.0";"747.5";"766.6";"94";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 04:20";"16.0";"747.6";"766.6";"88";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 03:50";"16.0";"747.6";"766.6";"88";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 03:20";"16.0";"747.6";"766.6";"88";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 02:50";"16.0";"747.6";"766.6";"94";"Wind blowing from the south-west";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.08.2019 02:20";"16.0";"747.6";"766.6";"88";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"14.0";
"30.08.2019 01:50";"17.0";"747.6";"766.6";"88";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.08.2019 01:20";"17.0";"747.6";"766.6";"88";"Wind blowing from the west-southwest";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.08.2019 00:50";"17.0";"747.6";"766.6";"88";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"30.08.2019 00:20";"18.0";"747.7";"766.6";"83";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 23:50";"18.0";"747.7";"766.6";"83";"Wind blowing from the west";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 23:20";"18.0";"747.7";"766.6";"83";"Wind blowing from the west-southwest";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 22:50";"19.0";"747.7";"766.6";"78";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 22:20";"19.0";"747.7";"766.6";"78";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 21:50";"19.0";"747.0";"765.8";"78";"Wind blowing from the west-southwest";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 21:20";"19.0";"747.0";"765.8";"78";"Wind blowing from the south-southeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 20:50";"20.0";"747.0";"765.8";"73";"Wind blowing from the south-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 19:20";"21.0";"747.1";"765.8";"69";"variable wind direction";"1";"";"";"";"No Significant Clouds";"10.0 and more";"15.0";
"29.08.2019 18:50";"22.0";"746.4";"765.0";"65";"Wind blowing from the north-west";"2";"";"";"";"Few clouds (10-30%) 1380 m";"10.0 and more";"15.0";
"29.08.2019 18:20";"22.0";"746.4";"765.0";"65";"Wind blowing from the north-west";"2";"";"";"";"Few clouds (10-30%) 1350 m";"10.0 and more";"15.0";
"29.08.2019 17:50";"23.0";"746.4";"765.0";"61";"Wind blowing from the west-northwest";"3";"";"";"";"Few clouds (10-30%) 1110 m";"10.0 and more";"15.0";
"29.08.2019 17:20";"24.0";"746.5";"765.0";"54";"Wind blowing from the west-northwest";"3";"";"";"";"Few clouds (10-30%) 1080 m";"10.0 and more";"14.0";
"29.08.2019 16:50";"23.0";"746.4";"765.0";"61";"Wind blowing from the west-northwest";"3";"";"";"";"Scattered clouds (40-50%) 990 m, scattered clouds (40-50%) 1320 m";"10.0 and more";"15.0";
"29.08.2019 16:20";"23.0";"746.4";"765.0";"61";"Wind blowing from the west-northwest";"4";"";"";"";"Few clouds (10-30%) 1020 m, scattered clouds (40-50%) 1230 m";"10.0 and more";"15.0";
"29.08.2019 15:50";"23.0";"746.4";"765.0";"61";"Wind blowing from the west-northwest";"4";"";"";"";"Few clouds (10-30%) 1020 m";"10.0 and more";"15.0";
"29.08.2019 15:20";"24.0";"746.5";"765.0";"61";"Wind blowing from the west-northwest";"4";"";"";"";"Scattered clouds (40-50%) 960 m";"10.0 and more";"16.0";
"29.08.2019 14:50";"24.0";"746.5";"765.0";"61";"Wind blowing from the west-northwest";"3";"";"";"";"Few clouds (10-30%) 810 m, broken clouds (60-90%) 930 m";"10.0 and more";"16.0";
"29.08.2019 14:20";"24.0";"745.8";"764.3";"65";"Wind blowing from the north-west";"3";"";"";"";"Scattered clouds (40-50%) 720 m, broken clouds (60-90%) 900 m";"10.0 and more";"17.0";
"29.08.2019 13:50";"22.0";"746.4";"765.0";"73";"Wind blowing from the west";"3";"";"";"";"Broken clouds (60-90%) 660 m";"10.0 and more";"17.0";
"29.08.2019 13:20";"23.0";"745.8";"764.3";"69";"Wind blowing from the west-northwest";"3";"";"";"";"Broken clouds (60-90%) 630 m";"9.0";"17.0";
"29.08.2019 12:50";"22.0";"745.7";"764.3";"73";"variable wind direction";"3";"";"";"";"Broken clouds (60-90%) 660 m";"10.0 and more";"17.0";
"29.08.2019 12:20";"23.0";"745.8";"764.3";"69";"Wind blowing from the west-northwest";"4";"";"";"";"Scattered clouds (40-50%) 660 m";"10.0 and more";"17.0";
"29.08.2019 11:50";"23.0";"745.8";"764.3";"69";"Wind blowing from the west";"4";"";"";"";"Few clouds (10-30%) 660 m, scattered clouds (40-50%) 1290 m";"10.0 and more";"17.0";
"29.08.2019 11:20";"22.0";"745.7";"764.3";"69";"Wind blowing from the west";"3";"";"";"";"Few clouds (10-30%) 540 m";"10.0 and more";"16.0";
"29.08.2019 10:50";"21.0";"745.6";"764.3";"73";"variable wind direction";"3";"";"";"";"Few clouds (10-30%) 450 m";"10.0 and more";"16.0";
"29.08.2019 10:20";"21.0";"745.6";"764.3";"78";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 420 m";"10.0 and more";"17.0";
